transaction_id,investor_id,scheme_code,transaction_date,transaction_type,amount,units,kyc_status,state
TXN10001,INV20164,119018,2023-02-21,Lumpsum,194061,242.5529,Pending,Punjab
TXN10002,INV20109,119018,2023-03-03,Lumpsum,158815,199.8198,Pending,Telangana
TXN10003,INV20108,119598,2025-07-08,SIP,42853,409.7887,Pending,Uttar Pradesh
TXN10004,INV20040,119598,2024-11-20,SIP,95104,988.9741,Approved,Maharashtra
TXN10005,INV20187,118632,2026-01-03,Redemption,77854,733.5914,Pending,Punjab
TXN10006,INV20050,120152,2023-05-23,Lumpsum,21916,50.0857,Pending,West Bengal
TXN10007,INV20072,118632,2025-01-17,Redemption,176682,1891.3503,Pending,Punjab
TXN10008,INV20163,119598,2025-12-29,SIP,71765,675.0027,Pending,Gujarat
TXN10009,INV20216,119018,2024-04-14,Redemption,18350,16.4373,Pending,Tamil Nadu
TXN10010,INV20168,118632,2025-03-21,SIP,65651,709.4108,Approved,Punjab
TXN10011,INV20110,120465,2025-03-28,Lumpsum,37262,567.4992,Pending,Maharashtra
TXN10012,INV20221,119018,2023-11-10,Redemption,101864,109.4512,Pending,Telangana
TXN10013,INV20065,120465,2023-01-24,Lumpsum,202483,4212.253,Pending,Uttar Pradesh
TXN10014,INV20112,119598,2025-07-18,Lumpsum,200743,1956.8227,Pending,Uttar Pradesh
TXN10015,INV20216,120152,2025-11-05,SIP,43349,63.9867,Approved,Punjab
TXN10016,INV20083,118632,2023-02-09,Redemption,219016,3633.6789,Pending,Maharashtra
TXN10017,INV20062,120465,2023-06-11,Redemption,200387,4005.3368,Approved,Karnataka
TXN10018,INV20169,118632,2026-01-30,Lumpsum,160014,1565.151,Pending,Telangana
TXN10019,INV20194,120152,2024-02-16,Redemption,171361,313.3046,Pending,Delhi
TXN10020,INV20064,119598,2023-05-12,SIP,61323,851.4671,Approved,Delhi
TXN10021,INV20182,120152,2023-05-01,SIP,226348,525.8746,Pending,Uttar Pradesh
TXN10022,INV20172,118632,2024-03-14,Redemption,124987,1486.935,Pending,Delhi
TXN10023,INV20025,120152,2025-06-01,Redemption,227449,352.0615,Pending,Maharashtra
TXN10024,INV20104,120152,2024-11-25,Lumpsum,141584,223.5411,Pending,Karnataka
TXN10025,INV20072,118632,2024-05-26,Redemption,225386,2479.1121,Approved,Telangana
TXN10026,INV20215,119018,2023-07-11,SIP,127185,143.2627,Pending,Maharashtra
TXN10027,INV20043,118632,2023-05-01,Lumpsum,206816,3344.4916,Pending,Telangana
TXN10028,INV20170,120152,2025-09-23,Lumpsum,16331,24.4929,Approved,Gujarat
TXN10029,INV20015,119018,2026-11-04,Lumpsum,140231,115.879,Pending,Karnataka
TXN10030,INV20018,120465,2023-05-20,Redemption,234383,4777.4766,Approved,Punjab
TXN10031,INV20021,118632,2026-04-10,Lumpsum,188745,1908.6629,Approved,West Bengal
TXN10032,INV20034,120152,2024-06-09,Redemption,246297,409.8379,Pending,Punjab
TXN10033,INV20145,119018,2023-05-31,Lumpsum,245648,292.1057,Pending,Tamil Nadu
TXN10034,INV20095,120586,2023-11-20,Lumpsum,161347,1839.3411,Approved,Telangana
TXN10035,INV20077,120152,2023-08-01,Lumpsum,29058,61.2613,Approved,Uttar Pradesh
TXN10036,INV20073,120465,2024-03-07,Lumpsum,224585,3684.7416,Pending,Uttar Pradesh
TXN10037,INV20232,119018,2023-09-07,Lumpsum,88439,95.5796,Approved,Karnataka
TXN10039,INV20010,120586,2026-04-07,Redemption,81808,721.0294,Approved,Gujarat
TXN10040,INV20054,120152,2024-05-26,Redemption,232770,394.3196,Approved,Tamil Nadu
TXN10041,INV20222,119598,2023-12-29,SIP,243348,2845.4799,Pending,Tamil Nadu
TXN10042,INV20069,119598,2023-10-08,SIP,59309,755.2516,Pending,Gujarat
TXN10043,INV20079,119598,2024-04-01,Lumpsum,74034,836.8677,Approved,Gujarat
TXN10044,INV20165,120465,2025-03-29,SIP,69475,1058.1023,Approved,Maharashtra
TXN10045,INV20028,120465,2025-06-08,Redemption,135066,1950.4116,Pending,Uttar Pradesh
TXN10046,INV20012,120152,2025-06-12,Lumpsum,142151,218.2479,Pending,Gujarat
TXN10047,INV20111,119018,2024-11-07,SIP,79727,66.1657,Pending,Gujarat
TXN10048,INV20104,120152,2024-08-28,Lumpsum,247510,380.8866,Approved,Punjab
TXN10049,INV20146,120586,2025-04-11,Lumpsum,113692,1036.0124,Pending,Haryana
TXN10050,INV20114,118632,2024-03-13,SIP,75392,903.7641,Pending,Delhi
TXN10051,INV20210,119598,2024-09-27,Lumpsum,13114,124.2979,Pending,Punjab
TXN10052,INV20218,119018,2025-07-21,Lumpsum,101657,82.1491,Pending,Karnataka
TXN10053,INV20168,120152,2023-01-12,Redemption,211792,497.8094,Pending,Maharashtra
TXN10054,INV20143,119598,2023-06-09,SIP,176001,2380.9627,Pending,Haryana
TXN10055,INV20157,120152,2025-10-30,Lumpsum,42722,62.6299,Pending,Haryana
TXN10056,INV20067,119598,2024-07-21,Lumpsum,21311,216.9505,Pending,Uttar Pradesh
TXN10057,INV20086,120586,2026-01-11,SIP,101410,809.273,Pending,Delhi
TXN10058,INV20107,118632,2024-08-11,Redemption,219337,2268.4207,Approved,Punjab
TXN10059,INV20098,118632,2023-01-13,Lumpsum,224726,3739.6556,Pending,Telangana
TXN10060,INV20192,120152,2026-01-23,Redemption,115251,174.1762,Pending,Gujarat
TXN10061,INV20172,120152,2025-04-08,Redemption,164120,280.4372,Pending,Punjab
TXN10062,INV20145,120152,2023-02-25,Redemption,122031,291.1913,Approved,West Bengal
TXN10063,INV20084,119598,2025-07-20,Redemption,100385,978.5429,Pending,Uttar Pradesh
TXN10064,INV20214,119018,2025-08-21,Lumpsum,92740,74.9191,Pending,Maharashtra
TXN10065,INV20194,119018,2024-05-21,SIP,63533,56.4375,Pending,Punjab
TXN10066,INV20243,119598,2025-08-10,Redemption,160186,1602.1404,Pending,Karnataka
TXN10067,INV20247,120586,2023-08-10,Lumpsum,239033,2844.2765,Pending,Tamil Nadu
TXN10068,INV20020,120465,2024-05-12,Lumpsum,158394,2563.8394,Approved,Gujarat
TXN10069,INV20137,118632,2025-01-28,Lumpsum,4316,47.8372,Pending,Delhi
TXN10070,INV20111,120586,2025-07-30,Redemption,137772,1137.8593,Approved,Punjab
TXN10071,INV20207,120465,2025-09-17,Redemption,156313,2195.7157,Pending,Delhi
TXN10072,INV20072,118632,2024-05-14,Redemption,130579,1490.1618,Approved,Haryana
TXN10073,INV20055,120586,2024-06-13,Lumpsum,184811,1666.6156,Approved,Telangana
TXN10074,INV20243,119598,2023-06-25,Redemption,199748,2687.6424,Pending,Haryana
TXN10075,INV20115,119018,2023-07-10,Lumpsum,64780,73.3407,Pending,Haryana
TXN10076,INV20142,120465,2024-05-12,Lumpsum,185249,2998.527,Approved,Uttar Pradesh
TXN10077,INV20060,119018,2024-01-30,SIP,200803,189.5049,Pending,Tamil Nadu
TXN10078,INV20190,118632,2024-07-20,SIP,78659,815.8886,Approved,Uttar Pradesh
TXN10079,INV20004,120152,2025-12-29,Lumpsum,15293,22.3859,Approved,Haryana
TXN10080,INV20027,119018,2026-03-21,Redemption,90314,78.6479,Approved,Uttar Pradesh
TXN10081,INV20241,118632,2023-08-22,Redemption,152262,2157.3395,Approved,Karnataka
TXN10082,INV20039,120465,2024-09-14,Lumpsum,201394,2839.7349,Pending,Telangana
TXN10083,INV20098,118632,2025-06-25,Redemption,163798,1617.8555,Pending,Tamil Nadu
TXN10084,INV20161,119598,2024-06-25,SIP,145701,1519.5802,Approved,West Bengal
TXN10086,INV20176,119598,2024-06-25,Redemption,59932,625.0574,Approved,Karnataka
TXN10087,INV20019,119018,2023-12-06,Lumpsum,123866,122.8515,Pending,Uttar Pradesh
TXN10088,INV20129,120465,2025-08-10,SIP,234156,3444.4837,Pending,Punjab
TXN10089,INV20065,119018,2023-07-07,SIP,177234,200.6614,Approved,Karnataka
TXN10090,INV20121,120465,2025-06-24,SIP,115264,1663.2612,Pending,Delhi
TXN10091,INV20121,120586,2025-04-16,Redemption,225849,2004.3397,Pending,Haryana
TXN10092,INV20074,120152,2025-03-31,Redemption,67164,110.4597,Pending,Telangana
TXN10093,INV20212,119018,2026-01-16,Redemption,136905,107.5412,Pending,Haryana
TXN10094,INV20195,119018,2024-02-21,Lumpsum,76505,70.7792,Pending,Delhi
TXN10095,INV20008,120152,2026-05-31,SIP,4584,7.2168,Pending,Tamil Nadu
TXN10096,INV20216,119018,2025-08-03,SIP,188853,155.6539,Approved,West Bengal
TXN10097,INV20214,118632,2025-08-25,Redemption,101554,992.3323,Approved,Delhi
TXN10098,INV20071,118632,2024-11-27,SIP,79264,815.3667,Pending,Karnataka
TXN10099,INV20115,120465,2025-09-18,Redemption,143456,2008.625,Pending,Tamil Nadu
TXN10100,INV20179,119598,2026-03-17,Lumpsum,108682,1105.512,Pending,West Bengal
TXN10101,INV20099,120152,2023-08-11,SIP,155712,331.4044,Pending,Haryana
TXN10102,INV20026,120465,2025-07-24,SIP,172646,2468.4873,Pending,Haryana
TXN10103,INV20201,120586,2024-11-24,SIP,224436,1957.4045,Pending,Gujarat
TXN10104,INV20161,120152,2025-09-26,SIP,180411,276.4288,Pending,Delhi
TXN10105,INV20112,119018,2023-07-25,SIP,237827,263.5042,Pending,Maharashtra
TXN10106,INV20076,120586,2025-06-02,SIP,109016,915.793,Approved,Karnataka
TXN10107,INV20045,119018,2026-02-06,Lumpsum,153871,121.1914,Pending,Uttar Pradesh
TXN10108,INV20118,120586,2023-01-20,Lumpsum,42412,561.1537,Pending,Punjab
TXN10109,INV20077,120152,2025-05-18,Redemption,53223,81.6608,Pending,Delhi
TXN10110,INV20061,118632,2026-03-17,Lumpsum,78392,811.3888,Pending,Uttar Pradesh
TXN10111,INV20003,120465,2023-11-04,Lumpsum,61324,1178.4012,Pending,Tamil Nadu
TXN10112,INV20163,119598,2024-05-28,SIP,170434,1859.5126,Pending,Maharashtra
TXN10113,INV20149,120586,2023-09-27,Lumpsum,109921,1276.5184,Approved,Telangana
TXN10114,INV20225,120586,2025-12-23,SIP,217187,1705.4338,Approved,Gujarat
TXN10115,INV20206,119018,2025-08-17,SIP,60143,49.5043,Pending,Telangana
TXN10116,INV20094,119018,2025-03-19,Lumpsum,120219,106.0164,Approved,Punjab
TXN10117,INV20098,120152,2025-01-30,Lumpsum,163410,270.9559,Pending,Punjab
TXN10118,INV20057,120152,2023-10-05,Lumpsum,31585,66.2016,Approved,Uttar Pradesh
TXN10119,INV20127,119018,2023-07-19,Lumpsum,119919,132.8268,Pending,Punjab
TXN10120,INV20191,120152,2023-11-13,SIP,162389,340.5781,Approved,Maharashtra
TXN10121,INV20177,120586,2024-03-20,Redemption,225251,2213.334,Pending,Telangana
TXN10122,INV20231,120152,2025-01-04,Redemption,33023,52.1217,Pending,Delhi
TXN10123,INV20170,119598,2026-05-07,SIP,64850,626.1617,Pending,Delhi
TXN10124,INV20213,120465,2024-02-29,Lumpsum,39680,664.2116,Approved,Uttar Pradesh
TXN10125,INV20220,119598,2023-09-24,SIP,228134,2922.5542,Approved,Gujarat
TXN10126,INV20203,119598,2026-04-20,SIP,14736,142.5188,Pending,Telangana
TXN10127,INV20030,120152,2023-11-05,Redemption,135542,287.855,Pending,Telangana
TXN10128,INV20057,120465,2023-03-30,Redemption,9165,199.0228,Pending,West Bengal
TXN10129,INV20110,120152,2023-10-08,Redemption,22178,46.2057,Approved,Delhi
TXN10130,INV20033,120586,2026-04-13,Redemption,140082,1191.7815,Pending,Delhi
TXN10131,INV20204,120152,2023-08-23,Redemption,60898,129.0425,Pending,West Bengal
TXN10132,INV20107,120152,2023-07-14,Redemption,67817,144.552,Approved,Haryana
